
quote_id,customer_id,project_name,quote_amount,currency,status,created_date,approved_date,expires_date,notes
Q0001,2824,Website Supply Chain,5275.39,CAD,Draft,2025-03-18,,2026-03-14,timeline negotiation agreement scope price review client contract.
Q0002,9279,Accounting Website,11444.28,GBP,Submitted,2025-01-18,,2026-03-25,design price support agreement testing feature timeline client.
Q0003,6514,E-commerce Inventory,7908.58,EUR,Approved,2025-02-27,2025-03-08,2025-11-06,communication contract client quality timeline design feature testing.
Q0004,6925,HR Design,14239.15,USD,Submitted,2024-12-09,,2025-11-15,upgrade client quality design communication testing agreement support.
Q0005,3664,Data Data,4585.39,EUR,Draft,2025-02-28,,2025-12-08,contract upgrade support communication quality feature testing delivery.
Q0006,4598,Logistics Mobile App,4966.44,USD,Approved,2025-01-06,2025-01-15,2025-11-11,maintenance negotiation testing launch feedback review contract upgrade.
Q0007,3340,Supply Chain Analytics,5309.24,EUR,Expired,2025-01-13,,2026-03-24,quality delivery upgrade feature feedback scope launch price.
Q0008,2796,Analytics Marketing,15945.55,GBP,Expired,2024-10-12,,2026-02-01,quality communication review design price testing delivery scope.
Q0009,9797,Supply Chain Logistics,2675.27,GBP,Submitted,2025-01-20,,2025-10-26,design review support negotiation client agreement testing feature.
Q0010,9317,Accounting Design,3480.37,CAD,Expired,2025-02-08,,2025-10-26,launch testing feedback price client communication support quality.
Q0011,6038,Finance Mobile App,5197.0,USD,Draft,2025-01-28,,2025-11-12,contract feature negotiation feedback support launch design implementation.
Q0012,7932,Design DevOps,15227.67,CAD,Approved,2025-01-06,2025-01-28,2026-01-29,communication review launch client upgrade negotiation scope support.
Q0013,1344,HR DevOps,4987.24,CAD,Draft,2024-10-14,,2025-11-10,upgrade timeline scope testing negotiation design client feature.
Q0014,8953,Design DevOps,3080.08,GBP,Submitted,2025-01-25,,2026-02-07,maintenance client negotiation agreement delivery launch communication upgrade.
Q0015,1887,E-commerce Mobile App,8351.12,EUR,Draft,2024-11-28,,2025-12-14,maintenance contract communication feature agreement timeline review upgrade.
Q0016,5092,Inventory AI,16256.43,USD,Draft,2025-03-11,,2026-03-13,price timeline upgrade support agreement contract communication client.
Q0017,7570,Mobile App Marketing,7889.98,GBP,Approved,2025-01-20,2025-01-30,2026-02-11,contract feedback feature maintenance implementation client price negotiation.
